Order_ID,Customer,Product,Category,Quantity,Unit_Price,Order_Date
1001,Customer_1,Headphones,Electronics,3,29875,2026-01-01
1002,Customer_2,Keyboard,Electronics,4,10162,2026-01-02
1003,Customer_3,Tablet,Accessories,1,17464,2026-01-03
1004,Customer_4,Keyboard,Electronics,4,48393,2026-01-04
1005,Customer_5,Keyboard,Electronics,3,8630,2026-01-05
1006,Customer_6,Phone,Electronics,1,20031,2026-01-06
1007,Customer_7,Tablet,Electronics,4,2179,2026-01-07
1008,Customer_8,Tablet,Accessories,4,4006,2026-01-08
1009,Customer_9,Tablet,Electronics,3,13784,2026-01-09
1010,Customer_10,Keyboard,Accessories,1,7753,2026-01-10
1011,Customer_11,Headphones,Electronics,3,19628,2026-01-11
1012,Customer_12,Tablet,Electronics,1,28432,2026-01-12
1013,Customer_13,Keyboard,Electronics,5,9935,2026-01-13
1014,Customer_14,Phone,Electronics,2,44578,2026-01-14
1015,Customer_15,Headphones,Accessories,2,13796,2026-01-15
1016,Customer_16,Phone,Accessories,2,30945,2026-01-16
1017,Customer_17,Headphones,Electronics,3,13745,2026-01-17
1018,Customer_18,Keyboard,Electronics,5,29624,2026-01-18
1019,Customer_19,Laptop,Accessories,1,30399,2026-01-19
1020,Customer_20,Headphones,Electronics,4,44419,2026-01-20
1021,Customer_21,Phone,Electronics,1,43725,2026-01-21
1022,Customer_22,Keyboard,Electronics,4,35747,2026-01-22
1023,Customer_23,Headphones,Accessories,1,29722,2026-01-23
1024,Customer_24,Laptop,Accessories,5,26711,2026-01-24
1025,Customer_25,Laptop,Accessories,4,37720,2026-01-25
1026,Customer_26,Tablet,Electronics,3,27146,2026-01-26
1027,Customer_27,Tablet,Electronics,1,39149,2026-01-27
1028,Customer_28,Phone,Accessories,1,23549,2026-01-28
1029,Customer_29,Headphones,Accessories,4,14569,2026-01-29
1030,Customer_30,Headphones,Accessories,3,33080,2026-01-30
1031,Customer_31,Tablet,Accessories,3,32343,2026-01-31
1032,Customer_32,Headphones,Electronics,5,3349,2026-02-01
1033,Customer_33,Headphones,Accessories,3,40658,2026-02-02
1034,Customer_34,Laptop,Electronics,3,23789,2026-02-03
1035,Customer_35,Tablet,Accessories,3,45190,2026-02-04
1036,Customer_36,Keyboard,Electronics,2,35757,2026-02-05
1037,Customer_37,Tablet,Accessories,5,10323,2026-02-06
1038,Customer_38,Keyboard,Accessories,1,42475,2026-02-07
1039,Customer_39,Laptop,Accessories,4,10040,2026-02-08
1040,Customer_40,Phone,Accessories,1,16864,2026-02-09
1041,Customer_41,Headphones,Electronics,5,5111,2026-02-10
1042,Customer_42,Laptop,Accessories,4,28163,2026-02-11
1043,Customer_43,Headphones,Electronics,5,39146,2026-02-12
1044,Customer_44,Phone,Electronics,3,31477,2026-02-13
1045,Customer_45,Phone,Electronics,4,29668,2026-02-14
1046,Customer_46,Laptop,Electronics,3,49615,2026-02-15
1047,Customer_47,Phone,Accessories,1,25971,2026-02-16
1048,Customer_48,Keyboard,Electronics,1,23187,2026-02-17
1049,Customer_49,Phone,Electronics,4,1351,2026-02-18
1050,Customer_50,Headphones,Electronics,4,18571,2026-02-19
1051,Customer_51,Headphones,Accessories,5,7333,2026-02-20
1052,Customer_52,Headphones,Accessories,5,12438,2026-02-21
1053,Customer_53,Headphones,Accessories,3,35695,2026-02-22
1054,Customer_54,Keyboard,Accessories,4,26644,2026-02-23
1055,Customer_55,Tablet,Electronics,1,4500,2026-02-24
1056,Customer_56,Laptop,Electronics,5,5552,2026-02-25
1057,Customer_57,Headphones,Accessories,5,36006,2026-02-26
1058,Customer_58,Phone,Electronics,1,28574,2026-02-27
1059,Customer_59,Headphones,Electronics,5,38655,2026-02-28
1060,Customer_60,Phone,Electronics,3,41270,2026-03-01
1061,Customer_61,Phone,Accessories,4,32820,2026-03-02
1062,Customer_62,Headphones,Accessories,1,38804,2026-03-03
1063,Customer_63,Keyboard,Electronics,4,46747,2026-03-04
1064,Customer_64,Phone,Accessories,5,4413,2026-03-05
1065,Customer_65,Phone,Accessories,5,17950,2026-03-06
1066,Customer_66,Headphones,Accessories,1,24607,2026-03-07
1067,Customer_67,Phone,Accessories,3,21264,2026-03-08
1068,Customer_68,Phone,Accessories,2,43904,2026-03-09
1069,Customer_69,Headphones,Electronics,1,20991,2026-03-10
1070,Customer_70,Headphones,Accessories,2,38994,2026-03-11
1071,Customer_71,Laptop,Electronics,2,3873,2026-03-12
1072,Customer_72,Keyboard,Electronics,3,12661,2026-03-13
1073,Customer_73,Keyboard,Accessories,2,32496,2026-03-14
1074,Customer_74,Phone,Electronics,2,27622,2026-03-15
1075,Customer_75,Keyboard,Electronics,3,35350,2026-03-16
1076,Customer_76,Phone,Electronics,2,27850,2026-03-17
1077,Customer_77,Laptop,Accessories,2,27972,2026-03-18
1078,Customer_78,Headphones,Accessories,2,29261,2026-03-19
1079,Customer_79,Headphones,Electronics,1,25851,2026-03-20
